115	4.255	0.0859
120	4.086	0.141
124	3.956	0.199
125	3.925	0.215
126	3.894	0.231
130	3.773	0.303
135	3.629	0.400
140	3.492	0.501
145	3.362	0.600
150	3.239	0.696
155	3.122	0.795
160	3.010	0.908
165	2.904	0.960
170	2.802	0.964
175	2.705	0.958
180	2.612	0.932
190	2.440	0.786
200	2.282	0.741
210	2.138	0.723
230	1.884	0.708
250	1.669	0.701
270	1.485	0.697
300	1.256	0.692
350	0.9666	0.676
400	0.7580	0.582
450	0.6038	0.551
500	0.4872	0.546
550	0.3975	0.550
600	0.3274	0.558
650	0.2719	0.568
700	0.2275	0.577
750	0.1915	0.577
800	0.1622	0.594
900	0.1180	0.609
1000	0.08732	0.621
1500	0.02288	0.621
2000	0.007052	0.621
2500	0.002360	0.621
3000	0.0008253	0.621
4000	0.0008253	0.621
5000	0.0008253	0.621
